price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
1.02,1337.0,78442,-1,2203388056,1337,1,False,2025-03-12 18:09:34.000,20,60000052,10000168,30023387,0,
1.02,1337.0,78442,-1,2203388006,1337,1,False,2025-03-12 18:09:34.000,20,60000002,10000168,30000004,2147483647,
1.02,1337.0,78442,-1,2203388007,1337,1,False,2025-03-12 18:09:34.000,20,60000003,10000168,30000005,2147483647,
1.02,1337.0,78442,-1,2203388008,1337,1,False,2025-03-12 18:09:34.000,20,60000004,10000168,30000008,2147483647,
1.02,1337.0,78442,-1,2203388009,1337,1,False,2025-03-12 18:09:34.000,20,60000005,10000168,30000009,2147483647,
1.02,1337.0,78442,-1,2203388010,1337,1,False,2025-03-12 18:09:34.000,20,60000006,10000168,30006132,2147483647,
1.02,1337.0,78442,-1,2203388011,1337,1,False,2025-03-12 18:09:34.000,20,60000007,10000168,30009450,2147483647,
1.02,1337.0,78442,-1,2203388012,1337,1,False,2025-03-12 18:09:34.000,20,60000008,10000168,30009604,2147483647,
1.02,1337.0,78442,-1,2203388013,1337,1,False,2025-03-12 18:09:34.000,20,60000009,10000168,30009748,2147483647,
1.02,1337.0,78442,-1,2203388014,1337,1,False,2025-03-12 18:09:34.000,20,60000010,10000168,30009827,2147483647,
1.02,1337.0,78442,-1,2203388015,1337,1,False,2025-03-12 18:09:34.000,20,60000011,10000168,30010058,2147483647,
1.02,1337.0,78442,-1,2203388016,1337,1,False,2025-03-12 18:09:34.000,20,60000012,10000168,30010447,2147483647,
1.02,1337.0,78442,-1,2203388017,1337,1,False,2025-03-12 18:09:34.000,20,60000013,10000168,30010597,2147483647,
1.02,1337.0,78442,-1,2203388018,1337,1,False,2025-03-12 18:09:34.000,20,60000014,10000168,30010690,2147483647,
1.02,1337.0,78442,-1,2203388019,1337,1,False,2025-03-12 18:09:34.000,20,60000015,10000168,30013484,2147483647,
1.02,1337.0,78442,-1,2203388020,1337,1,False,2025-03-12 18:09:34.000,20,60000016,10000168,30013685,2147483647,
1.02,1337.0,78442,-1,2203388021,1337,1,False,2025-03-12 18:09:34.000,20,60000017,10000168,30013774,2147483647,
1.02,1337.0,78442,-1,2203388022,1337,1,False,2025-03-12 18:09:34.000,20,60000018,10000168,30013856,2147483647,
1.02,1337.0,78442,-1,2203388023,1337,1,False,2025-03-12 18:09:34.000,20,60000019,10000168,30013927,2147483647,
1.02,1337.0,78442,-1,2203388024,1337,1,False,2025-03-12 18:09:34.000,20,60000020,10000168,30016541,2147483647,
1.02,1337.0,78442,-1,2203388025,1337,1,False,2025-03-12 18:09:34.000,20,60000021,10000168,30016963,2147483647,
1.02,1337.0,78442,-1,2203388026,1337,1,False,2025-03-12 18:09:34.000,20,60000022,10000168,30017132,2147483647,
1.02,1337.0,78442,-1,2203388027,1337,1,False,2025-03-12 18:09:34.000,20,60000023,10000168,30017403,2147483647,
1.02,1337.0,78442,-1,2203388028,1337,1,False,2025-03-12 18:09:34.000,20,60000024,10000168,30017452,2147483647,
1.02,1337.0,78442,-1,2203388029,1337,1,False,2025-03-12 18:09:34.000,20,60000025,10000168,30017637,2147483647,
1.02,1337.0,78442,-1,2203388030,1337,1,False,2025-03-12 18:09:34.000,20,60000026,10000168,30017723,2147483647,
1.02,1337.0,78442,-1,2203388031,1337,1,False,2025-03-12 18:09:34.000,20,60000027,10000168,30017995,2147483647,
1.02,1337.0,78442,-1,2203388032,1337,1,False,2025-03-12 18:09:34.000,20,60000028,10000168,30018105,2147483647,
1.02,1337.0,78442,-1,2203388033,1337,1,False,2025-03-12 18:09:34.000,20,60000029,10000168,30018231,2147483647,
1.02,1337.0,78442,-1,2203388034,1337,1,False,2025-03-12 18:09:34.000,20,60000030,10000168,30018358,2147483647,
1.02,1337.0,78442,-1,2203388035,1337,1,False,2025-03-12 18:09:34.000,20,60000031,10000168,30018774,2147483647,
1.02,1337.0,78442,-1,2203388036,1337,1,False,2025-03-12 18:09:34.000,20,60000032,10000168,30019914,2147483647,
1.02,1337.0,78442,-1,2203388037,1337,1,False,2025-03-12 18:09:34.000,20,60000033,10000168,30019945,2147483647,
1.02,1337.0,78442,-1,2203388038,1337,1,False,2025-03-12 18:09:34.000,20,60000034,10000168,30020072,2147483647,
1.02,1337.0,78442,-1,2203388039,1337,1,False,2025-03-12 18:09:34.000,20,60000035,10000168,30020288,2147483647,
1.02,1337.0,78442,-1,2203388040,1337,1,False,2025-03-12 18:09:34.000,20,60000036,10000168,30020505,2147483647,
1.02,1337.0,78442,-1,2203388041,1337,1,False,2025-03-12 18:09:34.000,20,60000037,10000168,30020628,2147483647,
1.02,1337.0,78442,-1,2203388042,1337,1,False,2025-03-12 18:09:34.000,20,60000038,10000168,30020720,2147483647,
1.02,1337.0,78442,-1,2203388043,1337,1,False,2025-03-12 18:09:34.000,20,60000039,10000168,30020805,2147483647,
1.02,1337.0,78442,-1,2203388044,1337,1,False,2025-03-12 18:09:34.000,20,60000040,10000168,30021042,2147483647,
1.02,1337.0,78442,-1,2203388045,1337,1,False,2025-03-12 18:09:34.000,20,60000041,10000168,30021148,2147483647,
1.02,1337.0,78442,-1,2203388046,1337,1,False,2025-03-12 18:09:34.000,20,60000042,10000168,30021558,2147483647,
1.02,1337.0,78442,-1,2203388047,1337,1,False,2025-03-12 18:09:34.000,20,60000043,10000168,30022001,2147483647,
1.02,1337.0,78442,-1,2203388048,1337,1,False,2025-03-12 18:09:34.000,20,60000044,10000168,30022226,2147483647,
1.02,1337.0,78442,-1,2203388049,1337,1,False,2025-03-12 18:09:34.000,20,60000045,10000168,30022664,2147483647,
1.02,1337.0,78442,-1,2203388050,1337,1,False,2025-03-12 18:09:34.000,20,60000046,10000168,30022911,2147483647,
1.02,1337.0,78442,-1,2203388051,1337,1,False,2025-03-12 18:09:34.000,20,60000047,10000168,30022999,2147483647,
1.02,1337.0,78442,-1,2203388052,1337,1,False,2025-03-12 18:09:34.000,20,60000048,10000168,30023043,2147483647,
1.02,1337.0,78442,-1,2203388053,1337,1,False,2025-03-12 18:09:34.000,20,60000049,10000168,30023131,2147483647,
1.02,1337.0,78442,-1,2203388054,1337,1,False,2025-03-12 18:09:34.000,20,60000050,10000168,30023271,2147483647,
1.02,1337.0,78442,-1,2203388055,1337,1,False,2025-03-12 18:09:34.000,20,60000051,10000168,30023327,2147483647,
1.02,1337.0,78442,-1,2203388057,1337,1,False,2025-03-12 18:09:34.000,20,60000053,10000168,30023454,2147483647,
1.02,1337.0,78442,-1,2203388058,1337,1,False,2025-03-12 18:09:34.000,20,60000054,10000168,30023508,2147483647,
1.02,1337.0,78442,-1,2203388059,1337,1,False,2025-03-12 18:09:34.000,20,60000055,10000168,30023957,2147483647,
0.95,1337.0,78442,-1,2203388110,1337,1,True,2025-03-12 18:09:34.000,20,60000052,10000168,30023387,0,
0.95,1337.0,78442,-1,2203388060,1337,1,True,2025-03-12 18:09:34.000,20,60000002,10000168,30000004,2147483647,
0.95,1337.0,78442,-1,2203388061,1337,1,True,2025-03-12 18:09:34.000,20,60000003,10000168,30000005,2147483647,
0.95,1337.0,78442,-1,2203388062,1337,1,True,2025-03-12 18:09:34.000,20,60000004,10000168,30000008,2147483647,
0.95,1337.0,78442,-1,2203388063,1337,1,True,2025-03-12 18:09:34.000,20,60000005,10000168,30000009,2147483647,
0.95,1337.0,78442,-1,2203388064,1337,1,True,2025-03-12 18:09:34.000,20,60000006,10000168,30006132,2147483647,
0.95,1337.0,78442,-1,2203388065,1337,1,True,2025-03-12 18:09:34.000,20,60000007,10000168,30009450,2147483647,
0.95,1337.0,78442,-1,2203388066,1337,1,True,2025-03-12 18:09:34.000,20,60000008,10000168,30009604,2147483647,
0.95,1337.0,78442,-1,2203388067,1337,1,True,2025-03-12 18:09:34.000,20,60000009,10000168,30009748,2147483647,
0.95,1337.0,78442,-1,2203388068,1337,1,True,2025-03-12 18:09:34.000,20,60000010,10000168,30009827,2147483647,
0.95,1337.0,78442,-1,2203388069,1337,1,True,2025-03-12 18:09:34.000,20,60000011,10000168,30010058,2147483647,
0.95,1337.0,78442,-1,2203388070,1337,1,True,2025-03-12 18:09:34.000,20,60000012,10000168,30010447,2147483647,
0.95,1337.0,78442,-1,2203388071,1337,1,True,2025-03-12 18:09:34.000,20,60000013,10000168,30010597,2147483647,
0.95,1337.0,78442,-1,2203388072,1337,1,True,2025-03-12 18:09:34.000,20,60000014,10000168,30010690,2147483647,
0.95,1337.0,78442,-1,2203388073,1337,1,True,2025-03-12 18:09:34.000,20,60000015,10000168,30013484,2147483647,
