price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
0.87,1337.0,82138,-1,2203390761,1337,1,False,2025-03-12 18:10:04.000,20,60000052,10000168,30023387,0,
0.87,1337.0,82138,-1,2203390711,1337,1,False,2025-03-12 18:10:04.000,20,60000002,10000168,30000004,2147483647,
0.87,1337.0,82138,-1,2203390712,1337,1,False,2025-03-12 18:10:04.000,20,60000003,10000168,30000005,2147483647,
0.87,1337.0,82138,-1,2203390713,1337,1,False,2025-03-12 18:10:04.000,20,60000004,10000168,30000008,2147483647,
0.87,1337.0,82138,-1,2203390714,1337,1,False,2025-03-12 18:10:04.000,20,60000005,10000168,30000009,2147483647,
0.87,1337.0,82138,-1,2203390715,1337,1,False,2025-03-12 18:10:04.000,20,60000006,10000168,30006132,2147483647,
0.87,1337.0,82138,-1,2203390716,1337,1,False,2025-03-12 18:10:04.000,20,60000007,10000168,30009450,2147483647,
0.87,1337.0,82138,-1,2203390717,1337,1,False,2025-03-12 18:10:04.000,20,60000008,10000168,30009604,2147483647,
0.87,1337.0,82138,-1,2203390718,1337,1,False,2025-03-12 18:10:04.000,20,60000009,10000168,30009748,2147483647,
0.87,1337.0,82138,-1,2203390719,1337,1,False,2025-03-12 18:10:04.000,20,60000010,10000168,30009827,2147483647,
0.87,1337.0,82138,-1,2203390720,1337,1,False,2025-03-12 18:10:04.000,20,60000011,10000168,30010058,2147483647,
0.87,1337.0,82138,-1,2203390721,1337,1,False,2025-03-12 18:10:04.000,20,60000012,10000168,30010447,2147483647,
0.87,1337.0,82138,-1,2203390722,1337,1,False,2025-03-12 18:10:04.000,20,60000013,10000168,30010597,2147483647,
0.87,1337.0,82138,-1,2203390723,1337,1,False,2025-03-12 18:10:04.000,20,60000014,10000168,30010690,2147483647,
0.87,1337.0,82138,-1,2203390724,1337,1,False,2025-03-12 18:10:04.000,20,60000015,10000168,30013484,2147483647,
0.87,1337.0,82138,-1,2203390725,1337,1,False,2025-03-12 18:10:04.000,20,60000016,10000168,30013685,2147483647,
0.87,1337.0,82138,-1,2203390726,1337,1,False,2025-03-12 18:10:04.000,20,60000017,10000168,30013774,2147483647,
0.87,1337.0,82138,-1,2203390727,1337,1,False,2025-03-12 18:10:04.000,20,60000018,10000168,30013856,2147483647,
0.87,1337.0,82138,-1,2203390728,1337,1,False,2025-03-12 18:10:04.000,20,60000019,10000168,30013927,2147483647,
0.87,1337.0,82138,-1,2203390729,1337,1,False,2025-03-12 18:10:04.000,20,60000020,10000168,30016541,2147483647,
0.87,1337.0,82138,-1,2203390730,1337,1,False,2025-03-12 18:10:04.000,20,60000021,10000168,30016963,2147483647,
0.87,1337.0,82138,-1,2203390731,1337,1,False,2025-03-12 18:10:04.000,20,60000022,10000168,30017132,2147483647,
0.87,1337.0,82138,-1,2203390732,1337,1,False,2025-03-12 18:10:04.000,20,60000023,10000168,30017403,2147483647,
0.87,1337.0,82138,-1,2203390733,1337,1,False,2025-03-12 18:10:04.000,20,60000024,10000168,30017452,2147483647,
0.87,1337.0,82138,-1,2203390734,1337,1,False,2025-03-12 18:10:04.000,20,60000025,10000168,30017637,2147483647,
0.87,1337.0,82138,-1,2203390735,1337,1,False,2025-03-12 18:10:04.000,20,60000026,10000168,30017723,2147483647,
0.87,1337.0,82138,-1,2203390736,1337,1,False,2025-03-12 18:10:04.000,20,60000027,10000168,30017995,2147483647,
0.87,1337.0,82138,-1,2203390737,1337,1,False,2025-03-12 18:10:04.000,20,60000028,10000168,30018105,2147483647,
0.87,1337.0,82138,-1,2203390738,1337,1,False,2025-03-12 18:10:04.000,20,60000029,10000168,30018231,2147483647,
0.87,1337.0,82138,-1,2203390739,1337,1,False,2025-03-12 18:10:04.000,20,60000030,10000168,30018358,2147483647,
0.87,1337.0,82138,-1,2203390740,1337,1,False,2025-03-12 18:10:04.000,20,60000031,10000168,30018774,2147483647,
0.87,1337.0,82138,-1,2203390741,1337,1,False,2025-03-12 18:10:04.000,20,60000032,10000168,30019914,2147483647,
0.87,1337.0,82138,-1,2203390742,1337,1,False,2025-03-12 18:10:04.000,20,60000033,10000168,30019945,2147483647,
0.87,1337.0,82138,-1,2203390743,1337,1,False,2025-03-12 18:10:04.000,20,60000034,10000168,30020072,2147483647,
0.87,1337.0,82138,-1,2203390744,1337,1,False,2025-03-12 18:10:04.000,20,60000035,10000168,30020288,2147483647,
0.87,1337.0,82138,-1,2203390745,1337,1,False,2025-03-12 18:10:04.000,20,60000036,10000168,30020505,2147483647,
