price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
95.0,131268.0,84868,32767,2201498803,272437,1,False,2025-03-08 08:28:48.000,90,60000037,10000168,30020628,2147483647,
100.0,37100.0,84868,32767,2202010142,50000,1,False,2025-03-09 11:01:55.000,90,60000017,10000168,30013774,2147483647,
108.0,2634.0,84868,32767,2202958481,3534,1,False,2025-03-11 15:13:09.000,14,60000012,10000168,30010447,2147483647,
109.1,407.0,84868,32767,2201882352,407,1,False,2025-03-09 03:48:36.000,7,60000037,10000168,30020628,2147483647,
118.9,83618.0,84868,32767,2201657368,500000,1,False,2025-03-08 16:57:12.000,90,60000008,10000168,30009604,2147483647,
150.0,1000000.0,84868,32767,2203391252,1000000,1,False,2025-03-12 18:10:10.000,90,60000026,10000168,30017723,2147483647,
200.0,110992.0,84868,32767,2203122035,162182,1,False,2025-03-12 00:35:23.000,90,60000026,10000168,30017723,2147483647,
300.0,37390.0,84868,32767,2200805166,37500,1,False,2025-03-06 19:57:28.000,90,60000038,10000168,30020720,2147483647,
300.0,4850.0,84868,32767,2200805200,4850,1,False,2025-03-06 19:57:47.000,90,60000038,10000168,30020720,2147483647,
300.0,9000.0,84868,32767,2201111468,9000,1,False,2025-03-07 06:17:42.000,90,60000038,10000168,30020720,2147483647,
430.0,15508.0,84868,32767,2201111093,20000,1,False,2025-03-11 01:13:41.000,14,60000036,10000168,30020505,2147483647,
490.0,19700.0,84868,32767,2202129561,20000,1,False,2025-03-09 16:51:21.000,90,60000011,10000168,30010058,2147483647,
500.0,9670.0,84868,32767,2201804300,10000,1,False,2025-03-08 23:50:12.000,90,60000007,10000168,30009450,2147483647,
550.0,30000.0,84868,32767,2202684653,30000,1,False,2025-03-10 23:04:51.000,90,60000033,10000168,30019945,2147483647,
550.0,20000.0,84868,32767,2202714134,20000,1,False,2025-03-11 00:56:30.000,90,60000035,10000168,30020288,2147483647,
550.0,30000.0,84868,32767,2203297744,30000,1,False,2025-03-12 12:38:56.000,1,60000020,10000168,30016541,2147483647,
749.0,1500.0,84868,32767,2203297291,1500,1,False,2025-03-12 12:16:37.000,90,60000014,10000168,30010690,2147483647,
750.0,13454.0,84868,32767,2201883323,17904,1,False,2025-03-09 04:29:35.000,14,60000014,10000168,30010690,2147483647,
750.0,20000.0,84868,32767,2201883328,20000,1,False,2025-03-09 04:30:05.000,14,60000014,10000168,30010690,2147483647,
150.0,5000.0,84868,-1,2202768472,5000,1,True,2025-03-11 04:15:15.000,90,60000045,10000168,30022664,2147483647,
