price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
0.01,2122172.0,78423,32767,2203103793,2122272,1,False,2025-03-11 23:24:52.000,3,60000033,10000168,30019945,2147483647,
0.01,97237.0,78423,32767,2203121748,97237,1,False,2025-03-12 00:24:57.000,7,60000033,10000168,30019945,2147483647,
0.02,23116.0,78423,32767,2202213562,1000000,1,False,2025-03-09 21:00:24.000,30,60000017,10000168,30013774,2147483647,
0.08,900000.0,78423,32767,2203103810,900000,1,False,2025-03-11 23:25:38.000,3,60000033,10000168,30019945,2147483647,
0.1,745036.0,78423,32767,2201638645,1096172,1,False,2025-03-08 15:26:08.000,90,60000033,10000168,30019945,2147483647,
0.1,528528.0,78423,32767,2202234052,703371,1,False,2025-03-09 22:01:24.000,90,60000035,10000168,30020288,2147483647,
0.1,488874.0,78423,32767,2202334603,652185,1,False,2025-03-10 03:04:48.000,7,60000011,10000168,30010058,2147483647,
0.1,55025475.0,78423,32767,2202889164,75306767,1,False,2025-03-11 11:14:33.000,90,60000037,10000168,30020628,2147483647,
0.1,6938923.0,78423,32767,2203068295,6940923,1,False,2025-03-11 21:36:47.000,7,60000008,10000168,30009604,2147483647,
0.1,1289.0,78423,32767,2203086169,1289,1,False,2025-03-11 22:23:56.000,90,60000035,10000168,30020288,2147483647,
0.15,94476.0,78423,32767,2202837255,94476,1,False,2025-03-11 08:13:26.000,7,60000035,10000168,30020288,2147483647,
0.15,923138.0,78423,32767,2203099175,1005900,1,False,2025-03-11 23:20:01.000,30,60000043,10000168,30022001,2147483647,
0.15,1270500.0,78423,32767,2203123453,1270500,1,False,2025-03-12 01:13:23.000,90,60000043,10000168,30022001,2147483647,
0.15,9888.0,78423,32767,2203140772,9888,1,False,2025-03-12 01:50:57.000,1,60000006,10000168,30006132,2147483647,
0.16,573256.0,78423,32767,2202642196,573256,1,False,2025-03-10 20:51:53.000,7,60000035,10000168,30020288,2147483647,
0.16,1814729.0,78423,32767,2202697283,2814741,1,False,2025-03-10 23:28:41.000,90,60000052,10000168,30023387,0,
0.16,365475.0,78423,32767,2203123456,365475,1,False,2025-03-12 01:13:32.000,90,60000043,10000168,30022001,2147483647,
0.16,200730.0,78423,32767,2203332875,200730,1,False,2025-03-12 14:00:33.000,1,60000052,10000168,30023387,0,
0.16,200730.0,78423,32767,2203332878,200730,1,False,2025-03-12 14:00:43.000,1,60000052,10000168,30023387,0,
0.16,194000.0,78423,32767,2203332883,194000,1,False,2025-03-12 14:00:55.000,1,60000052,10000168,30023387,0,
0.16,200730.0,78423,32767,2203332887,200730,1,False,2025-03-12 14:01:00.000,1,60000052,10000168,30023387,0,
0.16,394730.0,78423,32767,2203332893,394730,1,False,2025-03-12 14:01:09.000,1,60000052,10000168,30023387,0,
0.16,394730.0,78423,32767,2203332901,394730,1,False,2025-03-12 14:01:27.000,1,60000052,10000168,30023387,0,
0.17,299680.0,78423,32767,2202659236,299680,1,False,2025-03-10 21:17:39.000,7,60000011,10000168,30010058,2147483647,
0.17,13445290.0,78423,32767,2203103757,13445590,1,False,2025-03-11 23:23:18.000,1,60000019,10000168,30013927,2147483647,
0.18,489900.0,78423,32767,2201863578,650000,1,False,2025-03-09 03:33:02.000,90,60000014,10000168,30010690,2147483647,
0.18,8989480.0,78423,32767,2202128648,9000000,1,False,2025-03-09 16:27:29.000,30,60000012,10000168,30010447,2147483647,
0.2,240576.0,78423,32767,2201676562,707110,1,False,2025-03-08 17:33:24.000,90,60000014,10000168,30010690,2147483647,
0.2,161686.0,78423,32767,2202334855,161686,1,False,2025-03-10 03:15:01.000,90,60000035,10000168,30020288,2147483647,
0.2,271504.0,78423,32767,2202412872,271504,1,False,2025-03-10 07:22:44.000,90,60000033,10000168,30019945,2147483647,
0.2,1000000.0,78423,32767,2203455039,1000000,1,False,2025-03-12 21:36:33.000,90,60000012,10000168,30010447,2147483647,
0.21,2234.0,78423,32767,2202473799,2496,1,False,2025-03-10 11:06:17.000,90,60000039,10000168,30020805,2147483647,
0.21,1050988.0,78423,32767,2203420525,1050988,1,False,2025-03-12 19:52:18.000,1,60000037,10000168,30020628,2147483647,
0.21,121270.0,78423,32767,2203420546,121270,1,False,2025-03-12 19:52:37.000,1,60000037,10000168,30020628,2147483647,
0.21,170508.0,78423,32767,2203475080,170508,1,False,2025-03-12 22:50:57.000,1,60000012,10000168,30010447,2147483647,
0.26,312955.0,78423,32767,2202214152,460966,1,False,2025-03-09 21:20:51.000,90,60000041,10000168,30021148,2147483647,
0.27,206646.0,78423,32767,2201989749,817746,1,False,2025-03-09 09:55:11.000,7,60000025,10000168,30017637,2147483647,
0.27,817746.0,78423,32767,2201989752,817746,1,False,2025-03-09 09:55:21.000,7,60000025,10000168,30017637,2147483647,
0.3,98729.0,78423,32767,2201394380,350000,1,False,2025-03-08 02:19:59.000,7,60000025,10000168,30017637,2147483647,
0.44,102435.0,78423,32767,2201676733,102435,1,False,2025-03-08 17:39:24.000,90,60000014,10000168,30010690,2147483647,
0.46,98906.0,78423,32767,2201458807,98906,1,False,2025-03-08 06:18:21.000,90,60000014,10000168,30010690,2147483647,
0.47,661782.0,78423,32767,2201640145,661782,1,False,2025-03-08 15:55:52.000,90,60000012,10000168,30010447,2147483647,
0.48,25782.0,78423,32767,2201579942,25790,1,False,2025-03-08 12:28:56.000,90,60000041,10000168,30021148,2147483647,
0.48,359466.0,78423,32767,2201597666,475873,1,False,2025-03-08 13:27:05.000,90,60000038,10000168,30020720,2147483647,
0.49,430827.0,78423,32767,2201173625,433862,1,False,2025-03-07 09:20:49.000,14,60000025,10000168,30017637,2147483647,
0.49,812070.0,78423,32767,2201438676,1143121,1,False,2025-03-08 05:00:42.000,90,60000012,10000168,30010447,2147483647,
0.5,295129.0,78423,32767,2201090089,300000,1,False,2025-03-07 05:07:38.000,7,60000025,10000168,30017637,2147483647,
0.5,500000.0,78423,32767,2201090135,500000,1,False,2025-03-07 05:08:58.000,7,60000025,10000168,30017637,2147483647,
0.5,246167.0,78423,32767,2201882754,246167,1,False,2025-03-09 04:01:48.000,14,60000014,10000168,30010690,2147483647,
